# lon lat Te Te-uncertainty
-53.8 85.4 5.0 1.0
-53.6 85.4 5.0 1.0
-53.4 85.4 5.0 1.0
-53.2 85.4 5.0 1.0
-53.0 85.4 5.0 1.0
-52.8 85.4 5.0 1.0
-52.6 85.4 5.0 1.0
-52.4 85.4 5.0 1.0
-52.2 85.4 5.0 1.0
-52.0 85.4 5.0 1.0
-51.8 85.4 5.0 1.0
-51.6 85.4 5.0 1.0
-51.4 85.4 5.0 1.0
-51.2 85.4 5.0 1.0
-51.0 85.4 5.0 1.0
-50.8 85.4 5.0 1.0
-50.6 85.4 5.0 1.0
-50.4 85.4 5.0 1.0
-50.2 85.4 5.0 1.0
-50.0 85.4 5.0 1.0
-49.8 85.4 5.0 1.0
-49.6 85.4 5.0 1.0
-49.4 85.4 5.0 1.0
-49.2 85.4 5.0 1.0
-49.0 85.4 5.0 1.0
-48.8 85.4 5.0 1.0
-48.6 85.4 5.0 1.0
-48.4 85.4 5.0 1.0
-48.2 85.4 5.0 1.0
-48.0 85.4 5.0 1.0
-47.8 85.4 5.0 1.0
-47.6 85.4 5.0 1.0
-47.4 85.4 5.0 1.0
-47.2 85.4 5.0 1.0
-47.0 85.4 5.0 1.0
-46.8 85.4 5.0 1.0
-46.6 85.4 5.0 1.0
-46.4 85.4 5.0 1.0
-46.2 85.4 5.0 1.0
-46.0 85.4 5.0 1.0
-45.8 85.4 5.0 1.0
-45.6 85.4 5.0 1.0
-45.4 85.4 5.0 1.0
-45.2 85.4 5.0 1.0
-45.0 85.4 5.0 1.0
-44.8 85.4 5.0 1.0
-44.6 85.4 5.0 1.0
-44.4 85.4 5.0 1.0
-44.2 85.4 5.0 1.0
-44.0 85.4 5.0 1.0
-43.8 85.4 5.0 1.0
-43.6 85.4 5.0 1.0
-43.4 85.4 5.0 1.0
-43.2 85.4 5.0 1.0
-43.0 85.4 5.0 1.0
-42.8 85.4 5.0 1.0
-42.6 85.4 5.0 1.0
-42.4 85.4 5.0 1.0
-42.2 85.4 5.0 1.0
-42.0 85.4 5.0 1.0
-41.8 85.4 5.0 1.0
-41.6 85.4 5.0 1.0
-41.4 85.4 5.0 1.0
-41.2 85.4 5.0 1.0
-41.0 85.4 5.0 1.0
-40.8 85.4 5.0 1.0
-40.6 85.4 5.0 1.0
-40.4 85.4 5.0 1.0
-40.2 85.4 5.0 1.0
-40.0 85.4 5.0 1.0
-39.8 85.4 5.0 1.0
-39.6 85.4 5.0 1.0
-39.4 85.4 5.0 1.0
-39.2 85.4 5.0 1.0
-39.0 85.4 5.0 1.0
-38.8 85.4 5.0 1.0
-38.6 85.4 5.0 1.0
-38.4 85.4 5.0 1.0
-38.2 85.4 5.0 1.0
-38.0 85.4 5.0 1.0
-37.8 85.4 5.0 1.0
-37.6 85.4 5.0 1.0
-37.4 85.4 5.0 1.0
-37.2 85.4 5.0 1.0
-37.0 85.4 5.0 1.0
-36.8 85.4 5.0 1.0
-36.6 85.4 5.0 1.0
-36.4 85.4 5.0 1.0
-36.2 85.4 5.0 1.0
-36.0 85.4 5.0 1.0
-35.8 85.4 5.0 1.0
-35.6 85.4 5.0 1.0
-35.4 85.4 5.0 1.0
-35.2 85.4 5.0 1.0
-35.0 85.4 5.0 1.0
-34.8 85.4 5.0 1.0
-34.6 85.4 5.0 1.0
-34.4 85.4 5.0 1.0
-34.2 85.4 5.0 1.0
-34.0 85.4 5.0 1.0
-33.8 85.4 5.0 1.0
-33.6 85.4 5.0 1.0
-33.4 85.4 5.0 1.0
-33.2 85.4 5.0 1.0
-33.0 85.4 5.0 1.0
-32.8 85.4 5.0 1.0
-32.6 85.4 5.0 1.0
-32.4 85.4 5.0 1.0
-32.2 85.4 5.0 1.0
-32.0 85.4 5.0 1.0
-31.8 85.4 5.0 1.0
-31.6 85.4 5.0 1.0
-31.4 85.4 5.0 1.0
-31.2 85.4 5.0 1.0
-62.6 85.2 5.0 1.0
-62.4 85.2 5.0 1.0
-62.2 85.2 5.0 1.0
-62.0 85.2 5.0 1.0
-61.8 85.2 5.0 1.0
-61.6 85.2 5.0 1.0
-61.4 85.2 5.0 1.0
-61.2 85.2 5.0 1.0
-61.0 85.2 5.0 1.0
-60.8 85.2 5.0 1.0
-60.6 85.2 5.0 1.0
-60.4 85.2 5.0 1.0
-60.2 85.2 5.0 1.0
-60.0 85.2 5.0 1.0
-59.8 85.2 5.0 1.0
-59.6 85.2 5.0 1.0
-59.4 85.2 5.0 1.0
-59.2 85.2 5.0 1.0
-59.0 85.2 5.0 1.0
-58.8 85.2 5.0 1.0
-58.6 85.2 5.0 1.0
-58.4 85.2 5.0 1.0
-58.2 85.2 5.0 1.0
-58.0 85.2 5.0 1.0
-57.8 85.2 5.0 1.0
-57.6 85.2 5.0 1.0
-57.4 85.2 5.0 1.0
-57.2 85.2 5.0 1.0
-57.0 85.2 5.0 1.0
-56.8 85.2 5.0 1.0
-56.6 85.2 5.0 1.0
-56.4 85.2 5.0 1.0
-56.2 85.2 5.0 1.0
-56.0 85.2 5.0 1.0
-55.8 85.2 5.0 1.0
-55.6 85.2 5.0 1.0
-55.4 85.2 5.0 1.0
-55.2 85.2 5.0 1.0
-55.0 85.2 5.0 1.0
-54.8 85.2 5.0 1.0
-54.6 85.2 5.0 1.0
-54.4 85.2 5.0 1.0
-54.2 85.2 5.0 1.0
-54.0 85.2 5.0 1.0
-53.8 85.2 5.0 1.0
-53.6 85.2 5.0 1.0
-53.4 85.2 5.0 1.0
-53.2 85.2 5.0 1.0
-53.0 85.2 5.0 1.0
-52.8 85.2 5.0 1.0
-52.6 85.2 5.0 1.0
-52.4 85.2 5.0 1.0
-52.2 85.2 5.0 1.0
-52.0 85.2 5.0 1.0
-51.8 85.2 5.0 1.0
-51.6 85.2 5.0 1.0
-51.4 85.2 5.0 1.0
-51.2 85.2 5.0 1.0
-51.0 85.2 5.0 1.0
-50.8 85.2 5.0 1.0
-50.6 85.2 5.0 1.0
-50.4 85.2 5.0 1.0
-50.2 85.2 5.0 1.0
-50.0 85.2 5.0 1.0
-49.8 85.2 5.0 1.0
-49.6 85.2 5.0 1.0
-49.4 85.2 5.0 1.0
-49.2 85.2 5.0 1.0
-49.0 85.2 5.0 1.0
-48.8 85.2 5.0 1.0
-48.6 85.2 5.0 1.0
-48.4 85.2 5.0 1.0
-48.2 85.2 5.0 1.0
-48.0 85.2 5.0 1.0
-47.8 85.2 5.0 1.0
-47.6 85.2 5.0 1.0
-47.4 85.2 5.0 1.0
